MODEL NAME, BATCH SIZE, AVG LATENCY (ms), AVG MEM USAGE (MiB)
RESNET18,1,3.944,45.268
RESNET18,2,3.645,45.846
RESNET18,4,4.014,47.002
RESNET18,8,4.523,49.314
RESNET18,16,7.714,53.938
RESNET18,32,14.557,63.187
RESNET18,64,28.688,81.684
WIDE-RESNET101-2,1,19.38,493.19
WIDE-RESNET101-2,2,19.795,493.768
WIDE-RESNET101-2,4,25.365,494.924
WIDE-RESNET101-2,8,43.807,497.236
WIDE-RESNET101-2,16,79.697,501.86
WIDE-RESNET101-2,32,142.907,511.109
WIDE-RESNET101-2,64,273.916,529.606
MOBILENET_V2,1,8.335,14.155
MOBILENET_V2,2,8.022,14.733
MOBILENET_V2,4,8.152,15.89
MOBILENET_V2,8,8.138,18.202
MOBILENET_V2,16,11.886,22.826
MOBILENET_V2,32,22.198,32.074
MOBILENET_V2,64,42.918,50.571
BERT-BASE-UNCASED,1,10.446,418.738
BERT-BASE-UNCASED,2,11.27,418.75
BERT-BASE-UNCASED,4,10.614,418.773
BERT-BASE-UNCASED,8,12.228,418.82
BERT-BASE-UNCASED,16,11.792,418.914
BERT-BASE-UNCASED,32,13.402,419.103
BERT-BASE-UNCASED,64,13.146,419.479
GPT2,1,35.336,544.974
GPT2,2,69.603,600.242
GPT2,4,133.03,713.015
GPT2,8,259.441,937.562
GPT2,16,522.613,1387.656
GPT2,32,1051.21,2287.843
